Country,Country Code,Series,Series Code,2022M10 [2022M10],2022M11 [2022M11],2022M12 [2022M12],2022Q1 [2022Q1],2022Q2 [2022Q2],2022Q3 [2022Q3],2022Q4 [2022Q4],2023 [2023],2023M01 [2023M01],2023M02 [2023M02],2023M03 [2023M03],2023M04 [2023M04],2023M05 [2023M05],2023M06 [2023M06],2023M07 [2023M07],2023M08 [2023M08],2023M09 [2023M09],2023M10 [2023M10],2023M11 [2023M11],2023M12 [2023M12],2023Q1 [2023Q1],2023Q2 [2023Q2],2023Q3 [2023Q3],2023Q4 [2023Q4],2024 [2024],2024M01 [2024M01],2024M02 [2024M02],2024M03 [2024M03],2024M04 [2024M04],2024M05 [2024M05],2024M06 [2024M06],2024M07 [2024M07],2024M08 [2024M08],2024M09 [2024M09],2024M10 [2024M10],2024M11 [2024M11],2024M12 [2024M12],2024Q1 [2024Q1],2024Q2 [2024Q2],2024Q3 [2024Q3],2024Q4 [2024Q4],2025 [2025],2025M01 [2025M01],2025M02 [2025M02],2025M03 [2025M03],2025M04 [2025M04],2025M05 [2025M05],2025M06 [2025M06],2025Q1 [2025Q1],2025Q2 [2025Q2]
Qatar,QAT,"Stock Markets, LCU,,,",DSTKMKTXN,185.71527270053,179.04907977802,163.91455606413,..,..,..,..,151.58620940458,161.41814292751,155.24352184282,150.8520138377,148.96418703972,154.35755474847,150.1092530792,152.2436903301,155.32509230583,150.60278231184,144.56729544901,147.3607832412,147.99019574158,..,..,..,..,148.95983589187,152.21157513516,149.74270922427,149.4768562909,143.37016481275,140.44771924959,141.64001149998,148.40820180006,148.38405193918,152.54561896197,154.55299887817,153.26009567915,153.47802723124,..,..,..,..,153.62313987562,154.22137277637,155.54619495546,152.25402808516,148.73579582026,155.3511501918,155.63029742465,..,..
Qatar,QAT,"Stock Markets, US$,,,",DSTKMKTXD,184.08480121214,177.47713356511,162.47548211879,..,..,..,..,150.25537113332,160.00098602961,153.88057450714,149.52762137416,147.65636859147,153.00238568576,148.79138162076,150.9070797608,153.96142882919,149.28057795535,143.29807913763,146.06704174063,146.69092836734,..,..,..,..,147.65205564415,150.8752465185,148.42805580652,148.16453690643,142.11145860828,139.21467040813,140.39649502981,147.10526457707,147.08132673785,151.20635763586,153.19611393031,151.91456166528,152.13057990579,..,..,..,..,151.87651137011,152.86739931174,154.18059032685,150.91732675642,147.42998251335,153.98725794216,..,..,..
Qatar,QAT,"Total Reserves,,,,",TOTRESV,148977.484345222,154448.407296488,158450.612578274,..,..,..,..,162970.786822761,162547.073237136,156342.689899265,161687.830111625,162207.051456575,159045.848080588,158567.383610128,160622.325074871,158360.658861966,154919.983664579,156842.526545059,161272.03920501,162970.786822761,..,..,..,..,165823.032943098,159392.295126599,158626.626735639,160733.433160904,162785.543152736,163092.866866322,161584.10019058,163912.278791179,167088.075142935,172539.422815138,171950.231418459,167842.580996461,165823.032943098,..,..,..,..,..,169007.487067792,172163.027497958,176247.644976858,185208.412741628,185237.95262728,..,..,..
Qatar,QAT,"Core CPI,not seas.adj,,,",CORENS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Core CPI,seas.adj,,,",CORESA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,4.91508491508,5.15943751238,5.70862239841,..,..,..,..,3.03380990268,4.1406636949,4.43915973048,4.21124963188,4.57656952865,3.31817742092,3.25320976928,3.18177448813,2.50383729854,1.85343598517,2.45667491906,1.19596948865,1.50009375586,..,..,..,..,1.14971218196,3.1104346999,2.70398481973,1.25282592313,0.68262577146,0.93632958801,0.98167539267,0.27016955469,1.21665886757,0.87719298246,0.80855018587,0.90266145543,0.12931830778,..,..,..,..,-0.44108574954,-1.16236162362,-0.28637413395,0.18606381989,..,..,..,..,..
Qatar,QAT,"CPI Price, seas. adj.,,,",CPTOTSAXN,123.16172159024,124.5338337047,125.08502404128,..,..,..,..,125.29416363707,123.29072358391,123.60736484109,124.49865134279,125.41339275243,125.24920839686,125.43684766037,125.88249091122,125.30784566671,125.67139673977,126.18740471444,126.02322035886,126.96141667644,..,..,..,..,126.73468589969,127.12560103202,126.94968922247,126.05840272077,126.26949689223,126.42195379383,126.6682303272,126.22258707635,126.83241468277,126.77377741292,127.2076932098,127.16078339393,127.12560103202,..,..,..,..,126.17567726047,125.64794183183,126.58613814941,126.29295180016,..,..,..,..,..
Qatar,QAT,"CPI Price,not seas.adj,,,",CPTOTNSXN,123.61355375777,125.29018642279,126.86129675226,..,..,..,..,125.2794387775,123.57837964591,123.50803142221,123.84804783679,124.71567592918,124.98534412006,124.84464767265,125.30191112674,124.57497948177,125.3839840544,126.73232500879,126.93164497596,128.94829405558,..,..,..,..,126.7137608942,127.44753194982,126.83784734436,125.26673701489,125.58330402157,126.14608981123,126.06401688357,125.58330402157,126.00539336382,126.41575800211,127.82272247626,128.13928948294,129.25313635831,..,..,..,..,125.97021925196,125.98194395592,126.49783092977,125.43088287021,..,..,..,..,..
Qatar,QAT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.673,3.673,3.673,..,..,..,..,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,..,..,..,..,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,..,..,..,..,3.673,3.673,3.673,3.673,3.673,3.673,..,..,..
Qatar,QAT,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,3.673,3.673,3.673,..,..,..,..,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,..,..,..,..,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,..,..,..,..,3.673,3.673,3.673,3.673,3.673,3.673,..,..,..
Qatar,QAT,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Exports Merchandise, Customs, current US$, millions, not seas. adj.",DXGSRMRCHNSCD,10443.7,10206.3,10523,28607.7,34596.2,36690.7,31173,97756.2,9337.8,8524.2,8475.7,8431.7,7641.2,7371.4,7990.3,8631.4,8044,7991.6,7288.4,8028.5,26337.7,23444.3,24665.7,23308.5,..,8487.4,7751.7,7828.2,7548.1,7703.4,8097.6,8299.5,8232.9,7585.1,..,..,..,24067.3,23349.1,24117.5,..,..,..,..,..,..,..,..,..,..
